"month","title","author","publisher","format","isbn_or_year"
"July 2021","A Mind Of Their Own","Katharine Hill","Muddy Pearl","Paperback","9781910012314"
"July 2021","The Little Book For Really Really Brilliant Grandparents","Rob Parsons & Katharine Hill","Muddy Pearl","Hardback","9781910012987"
"July 2021","The Book Of Tokyo A City In Short Fiction","Michael Emmerich, Jim Hinks and Masashi Matsuie","Comma Press","Paperback","9781905583577"
"July 2021","Slow Road to Brownsville","David Reynolds","Greystone Books","Paperback","9781771640497"
"August 2021","Small Pleasures","Clare Chambers","Weidenfeld & Nicolson","epub","9781474613910"
"August 2021","Rising Ground","Philip Marsden","Granta","Hardback","9781847086280"
"September 2021","Stories Of Your Life And Others","Ted Chiang","Picador","Paperback","9781529039436"
"September 2021","The Lost Decade 2010-2020","Polly Toynbee and David Walker","Guardian Books and Faber & Faber","Paperback","9781783351718"
"September 2021","Invisible Women","Caroline Priado Perez","Vintage","Paperback","9781784706289"
"September 2021","First Person Singular","Haruki Murakami","Knopf Publishing","epub","9780593318089"
"September 2021","The Girl Before","JP Delaney","Random House","epub","9780425285053"
"October 2021","Brown Baby","Nikesh Shukla","Bluebird","epub","9781529032925"
"October 2021","Having and Being Had","Eula Biss","Penguin","epub","9780525537472"
"November 2021","Raceless","Georgina Lawton","Little, Brown Book Group","epub","9780063009493"
"November 2021","Feline Philosophy","John Gray","Farrar, Straus and Giroux","epub","9780374718794"
"December 2021","In The Land of the Cyclops","Karl Ove Knausgaard","Archipelago Books","epub","9781939810755"
"January 2022","A Time for Everything","Karl Ove Knausgaard","Archipelago Books","epub","9780981987354"
"January 2022","The Bride Comes To Evensford","H. E. Bates","Jonathan Cape","hardback","n/a"
"January 2022","The Cat and the City","Nick Bradley","Atlantic Books","epub","9781786499905"
"January 2022","Toddler-Hunting","Taeko Kono","New Directions Books","epub","9780811228282"
"February 2022","The Bloody Chamber","Angela Carter","Vintage","epub","9781409015369"
"February 2022","Pugnare","George Maher","Kilnamanagh","Paperback","9781999626211"
"March 2022","Intimacies","Katie Kitamura","Riverhead Books","epub","9780399576188"
"March 2022","Klara and the Sun","Kazuo Ishiguro","Alfred A. Knopf","epub","9780593318188"
"March 2022","Motherwell: A Girlhood","Deborah Orr","Weidenfeld & Nicholson","epub","9781474611473"
"April 2022","Shuggie Bain","Douglas Stuart","Macmillan","epub","9781529019308"
"May 2022","The Hand of Ethelberta","Thomas Hardy","Penguin","paperback","9780140435557"
"June 2022","A Laodicean","Thomas Hardy","Penguin","paperback","9780140435580"
"June 2022","Precious Bane","Mary Webb","Jonathan Cape","hardback","n/a"
"June 2022","Rebecca","Daphne du Maurier","Penguin","paperback","n/a"
"July 2022","The IPCRESS File","Len Deighton","Panther","paperback","n/a"
"July 2022","Mind Over Money: The Psychology of Money and How to Use It Better","Claudia Hammond","Canongate","epub","9781782112051"
"July 2022","Animal People","Charlotte Wood","Allen & Unwin","epub","9781743311844"
"August 2022","We Always...","Rob and Dianne Parsons","Care for the Family","hardback","9781739740702"
"August 2022","Rashomon and Seventeen Other Stories","Ryunosuke Akutagawa","Penguin","epub","9780141902876"
"August 2022","The Summer Book","Tove Jansson","Sort Of","epub","9781590176825"
"August 2022","Burntcoat","Sarah Hall","Faber & Faber","epub","9780571329335"
"August 2022","The Man In The High Castle","Philip K. Dick","Random House","epub","9780679740674"
"August 2022","Six Poets Hardy to Larkin","Alan Bennett","Faber & Faber","paperback","9780571321100"
"September 2022","Start Where You Are","Pema Chödrön","Thorsons","paperback","9780007190621"
"September 2022","The Wisdom of No Escape","Pema Chödrön","Thorsons Element","paperback","9780007190614"
"September 2022","When Things Fall Apart","Pema Chödrön","Thorsons","paperback","9780007183517"
"September 2022","The Places That Scare You","Pema Chödrön","Thorsons Element","paperback","9780007183500"
"October 2022","The Morning Star","Karl Ove Knausgaard","Penguin","epub","9780399563430"
"October 2022","The Silence of the Girls","Pat Barker","Doubleday","epub","9780385544214"
"October 2022","The Women of Troy","Pat Barker","Doubleday","epub","9780385546690"
"October 2022","The Weekend","Charlotte Wood","Allen & Unwin","epub","9781760292010"
"November 2022","A Room of One's Own","Virginia Woolf","Penguin","epub","9780141964331"
"November 2022","Girl, Woman, Other","Bernardine Evaristo","Penguin","epub","9780241985007"
"December 2022","Reprieve","James Han Mattson","HarperCollins","epub","9780063079939"
"December 2022","The Martian Chronicles","Ray Bradbury","Flamingo","paperback","9780006479239"
"December 2022","Born Of No Woman","Franck Bouysse","Other Press","epub","9781635420234"
"January 2023","Manifesto","Bernardine Evaristo","Grove Press","epub","9780802158918"
"January 2023","Boy Parts","Eliza Clarke","Influx Press","epub","9781910312636"
"January 2023","Creating Software With Modern Diagramming Techniques: Build Better Software With Mermaid","Ashley Peacock","Pragmatic Bookshelf","epub","9781680509830"
"February 2023","Life Two: How to get to and enjoy what used to be called retirement","Don Ezra","Don Ezra Consulting Services, Ltd.","paperback","9780993733925"
"February 2023","The Manningtree Witches","A. K. Blakemore","Catapult","epub","9781646220649"
"February 2023","My Year of Rest and Relaxation","Ottessa Moshfegh","Penguin","epub","9780525522126"
"March 2023","To Paradise","Hanya Yanagihara","Knopf Doubleday Publishing Group","epub","9780385547949"
"March 2023","My Life With Things: The Consumer Diaries","Elizabeth Chin","Duke University Press","pdf","9780822374268"
"April 2023","Fuccboi","Sean Thor Conroe","Little, Brown and Company","epub","9780316395014"
"April 2023","How To Fund The Life You Want","Robin Powell and Jonathan Hollow","Bloomsbury Business","paperback","9781399404600"
"April 2023","New Animal","Ella Baxter","Allen & Unwin","epub","9781953387127"
"May 2023","Effective Remote Work","Dr. James Stanier","Pragmatic Bookshelf","epub","9781680509229"
"May 2023","Love Marriage","Monica Ali","Virago","epub","9780349015491"
"May 2023","Young Mungo","Douglas Stuart","Grove Atlantic","epub","9780802159557"
"May 2023","Companion Piece","Ali Smith","Penguin","epub","9780735243187"
"May 2023","Lapvona","Ottessa Moshfegh","Penguin","epub","9780593300275"
"June 2023","What They Don't Teach You About Money","Claer Barrett","Penguin","paperback","9781529146332"
"June 2023","Blue Highways","William Least Heat-Moon","Little, Brown and Company","epub","9780316218542"
"June 2023","Brick Lane","Monica Ali","Transworld","epub","9780552774451"
"June 2023","The Dark Between The Trees","Fiona Barnett","Solaris","epub","9781786187154"
"July 2023","Faith, Hope and Carnage","Nick Cave & Seán O'Hagan","Farrar, Straus and Giroux","epub","9780374607388"
"July 2023","The Madness of Grief","The Reverend Richard Coles","Weidenfeld & Nicolson","epub","9781474619646"
"August 2023","Four Thousand Weeks","Oliver Burkeman","epub","Random House","9781473545557"
"August 2023","The Children","Charlotte Wood","epub","Allen & Unwin","9781741756043"
"August 2023","The Submerged Cathedral","Charlotte Wood","epub","Vintage Books","9781742747941"
